# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    3.514162162    3.653898695    3.653898687    2.804492606
    3.524171171    3.647142280    3.647142272    2.801754583
    3.534180180    3.640406321    3.640406313    2.799018307
    3.544189189    3.633690773    3.633690765    2.796283801
    3.554198198    3.626995591    3.626995583    2.793551093
    3.564207207    3.620320730    3.620320722    2.790820205
    3.574216216    3.613666144    3.613666135    2.788091164
    3.584225225    3.607031786    3.607031778    2.785363992
    3.594234234    3.600417611    3.600417603    2.782638715
    3.604243243    3.593823571    3.593823563    2.779915355
    3.614252252    3.587249621    3.587249613    2.777193937
    3.624261261    3.580695712    3.580695704    2.774474484
    3.634270270    3.574161797    3.574161789    2.771757019
    3.644279279    3.567647830    3.567647822    2.769041565
    3.654288288    3.561153761    3.561153753    2.766328144
    3.664297297    3.554679543    3.554679535    2.763616780
    3.674306306    3.548225127    3.548225119    2.760907493
    3.684315315    3.541790465    3.541790457    2.758200308
    3.694324324    3.535375508    3.535375500    2.755495244
    3.704333333    3.528980207    3.528980199    2.752792324
    3.714342342    3.522604513    3.522604505    2.750091570
    3.724351351    3.516248377    3.516248369    2.747393002
    3.734360360    3.509911749    3.509911741    2.744696641
    3.744369369    3.503594579    3.503594571    2.742002508
    3.754378378    3.497296817    3.497296810    2.739310624
    3.764387387    3.491018414    3.491018407    2.736621008
    3.774396396    3.484759319    3.484759312    2.733933682
    3.784405405    3.478519482    3.478519475    2.731248664
    3.794414414    3.472298853    3.472298845    2.728565976
    3.804423423    3.466097380    3.466097372    2.725885635
    3.814432432    3.459915013    3.459915005    2.723207662
    3.824441441    3.453751701    3.453751693    2.720532075
    3.834450450    3.447607393    3.447607385    2.717858894
    3.844459459    3.441482038    3.441482030    2.715188137
    3.854468468    3.435375584    3.435375577    2.712519823
    3.864477477    3.429287981    3.429287973    2.709853969
    3.874486486    3.423219176    3.423219169    2.707190595
    3.884495495    3.417169119    3.417169111    2.704529717
    3.894504505    3.411137757    3.411137749    2.701871354
    3.904513514    3.405125038    3.405125031    2.699215524
    3.914522523    3.399130912    3.399130905    2.696562243
    3.924531532    3.393155326    3.393155319    2.693911528
    3.934540541    3.387198228    3.387198221    2.691263397
    3.944549550    3.381259566    3.381259559    2.688617866
    3.954558559    3.375339287    3.375339280    2.685974953
    3.964567568    3.369437341    3.369437334    2.683334672
    3.974576577    3.363553673    3.363553666    2.680697041
    3.984585586    3.357688233    3.357688226    2.678062076
    3.994594595    3.351840968    3.351840961    2.675429792
    4.004603604    3.346011825    3.346011819    2.672800205
    4.014612613    3.340200753    3.340200746    2.670173330
    4.024621622    3.334407698    3.334407691    2.667549183
    4.034630631    3.328632608    3.328632601    2.664927779
    4.044639640    3.322875430    3.322875423    2.662309133
    4.054648649    3.317136113    3.317136106    2.659693260
    4.064657658    3.311414603    3.311414596    2.657080174
    4.074666667    3.305710848    3.305710841    2.654469889
    4.084675676    3.300024795    3.300024789    2.651862420
    4.094684685    3.294356393    3.294356386    2.649257781
    4.104693694    3.288705587    3.288705580    2.646655986
    4.114702703    3.283072326    3.283072319    2.644057049
    4.124711712    3.277456556    3.277456550    2.641460982
    4.134720721    3.271858226    3.271858220    2.638867800
    4.144729730    3.266277283    3.266277277    2.636277516
    4.154738739    3.260713674    3.260713667    2.633690143
    4.164747748    3.255167346    3.255167340    2.631105694
    4.174756757    3.249638248    3.249638241    2.628524181
    4.184765766    3.244126326    3.244126319    2.625945617
    4.194774775    3.238631528    3.238631521    2.623370014
    4.204783784    3.233153801    3.233153794    2.620797386
    4.214792793    3.227693093    3.227693087    2.618227743
    4.224801802    3.222249352    3.222249345    2.615661098
    4.234810811    3.216822524    3.216822518    2.613097462
    4.244819820    3.211412559    3.211412553    2.610536848
    4.254828829    3.206019403    3.206019397    2.607979266
    4.264837838    3.200643004    3.200642998    2.605424729
    4.274846847    3.195283310    3.195283304    2.602873246
    4.284855856    3.189940268    3.189940262    2.600324830
    4.294864865    3.184613827    3.184613821    2.597779491
    4.304873874    3.179303935    3.179303928    2.595237240
    4.314882883    3.174010538    3.174010532    2.592698088
    4.324891892    3.168733586    3.168733580    2.590162044
    4.334900901    3.163473026    3.163473020    2.587629119
    4.344909910    3.158228807    3.158228801    2.585099324
    4.354918919    3.153000876    3.153000870    2.582572667
    4.364927928    3.147789182    3.147789176    2.580049160
    4.374936937    3.142593673    3.142593667    2.577528812
    4.384945946    3.137414298    3.137414292    2.575011633
    4.394954955    3.132251004    3.132250998    2.572497631
    4.404963964    3.127103741    3.127103735    2.569986816
    4.414972973    3.121972457    3.121972451    2.567479198
    4.424981982    3.116857100    3.116857094    2.564974785
    4.434990991    3.111757620    3.111757614    2.562473586
    4.445000000    3.106673965    3.106673959    2.559975611
    4.455009009    3.101606083    3.101606077    2.557480867
    4.465018018    3.096553925    3.096553919    2.554989363
    4.475027027    3.091517438    3.091517433    2.552501107
    4.485036036    3.086496573    3.086496567    2.550016108
    4.495045045    3.081491278    3.081491272    2.547534374
    4.505054054    3.076501502    3.076501496    2.545055913
    4.515063063    3.071527195    3.071527189    2.542580732
    4.525072072    3.066568307    3.066568301    2.540108840
    4.535081081    3.061624786    3.061624780    2.537640243
    4.545090090    3.056696583    3.056696577    2.535174950
    4.555099099    3.051783647    3.051783642    2.532712968
    4.565108108    3.046885929    3.046885923    2.530254303
    4.575117117    3.042003377    3.042003371    2.527798964
    4.585126126    3.037135943    3.037135937    2.525346956
    4.595135135    3.032283575    3.032283570    2.522898287
    4.605144144    3.027446225    3.027446220    2.520452964
    4.615153153    3.022623843    3.022623838    2.518010993
    4.625162162    3.017816379    3.017816374    2.515572381
    4.635171171    3.013023784    3.013023778    2.513137133
    4.645180180    3.008246008    3.008246002    2.510705257
    4.655189189    3.003483002    3.003482997    2.508276759
    4.665198198    2.998734717    2.998734712    2.505851643
    4.675207207    2.994001104    2.994001098    2.503429918
    4.685216216    2.989282114    2.989282108    2.501011587
    4.695225225    2.984577697    2.984577692    2.498596657
    4.705234234    2.979887807    2.979887801    2.496185134
    4.715243243    2.975212393    2.975212387    2.493777023
    4.725252252    2.970551407    2.970551402    2.491372329
    4.735261261    2.965904801    2.965904796    2.488971058
    4.745270270    2.961272527    2.961272521    2.486573214
    4.755279279    2.956654536    2.956654530    2.484178803
    4.765288288    2.952050780    2.952050775    2.481787830
    4.775297297    2.947461212    2.947461207    2.479400300
    4.785306306    2.942885783    2.942885778    2.477016216
    4.795315315    2.938324447    2.938324442    2.474635585
    4.805324324    2.933777155    2.933777150    2.472258410
    4.815333333    2.929243859    2.929243854    2.469884696
    4.825342342    2.924724514    2.924724509    2.467514447
    4.835351351    2.920219070    2.920219065    2.465147668
    4.845360360    2.915727482    2.915727477    2.462784362
    4.855369369    2.911249702    2.911249697    2.460424534
    4.865378378    2.906785684    2.906785679    2.458068187
    4.875387387    2.902335380    2.902335375    2.455715326
    4.885396396    2.897898744    2.897898739    2.453365954
    4.895405405    2.893475730    2.893475725    2.451020074
    4.905414414    2.889066290    2.889066285    2.448677691
    4.915423423    2.884670380    2.884670375    2.446338807
    4.925432432    2.880287953    2.880287948    2.444003427
    4.935441441    2.875918962    2.875918957    2.441671553
    4.945450450    2.871563363    2.871563358    2.439343189
    4.955459459    2.867221108    2.867221103    2.437018337
    4.965468468    2.862892154    2.862892149    2.434697000
    4.975477477    2.858576453    2.858576448    2.432379183
    4.985486486    2.854273961    2.854273956    2.430064887
    4.995495495    2.849984632    2.849984628    2.427754115
    5.005504505    2.845708422    2.845708418    2.425446869
    5.015513514    2.841445286    2.841445281    2.423143153
    5.025522523    2.837195178    2.837195173    2.420842969
    5.035531532    2.832958053    2.832958049    2.418546319
    5.045540541    2.828733868    2.828733864    2.416253206
    5.055549550    2.824522578    2.824522573    2.413963631
    5.065558559    2.820324138    2.820324134    2.411677597
    5.075567568    2.816138505    2.816138500    2.409395106
    5.085576577    2.811965633    2.811965629    2.407116161
    5.095585586    2.807805480    2.807805475    2.404840762
    5.105594595    2.803658001    2.803657997    2.402568911
    5.115603604    2.799523153    2.799523149    2.400300611
    5.125612613    2.795400892    2.795400888    2.398035864
    5.135621622    2.791291175    2.791291170    2.395774669
    5.145630631    2.787193958    2.787193954    2.393517031
    5.155639640    2.783109199    2.783109194    2.391262948
    5.165648649    2.779036853    2.779036849    2.389012424
    5.175657658    2.774976879    2.774976875    2.386765459
    5.185666667    2.770929234    2.770929230    2.384522055
    5.195675676    2.766893875    2.766893870    2.382282212
    5.205684685    2.762870759    2.762870754    2.380045932
    5.215693694    2.758859844    2.758859839    2.377813215
    5.225702703    2.754861088    2.754861083    2.375584064
    5.235711712    2.750874448    2.750874444    2.373358477
    5.245720721    2.746899883    2.746899879    2.371136457
    5.255729730    2.742937351    2.742937347    2.368918004
    5.265738739    2.738986811    2.738986806    2.366703119
    5.275747748    2.735048220    2.735048215    2.364491801
    5.285756757    2.731121537    2.731121532    2.362284053
    5.295765766    2.727206721    2.727206716    2.360079874
    5.305774775    2.723303730    2.723303726    2.357879264
    5.315783784    2.719412524    2.719412520    2.355682224
    5.325792793    2.715533062    2.715533057    2.353488754
    5.335801802    2.711665302    2.711665298    2.351298854
    5.345810811    2.707809205    2.707809201    2.349112525
    5.355819820    2.703964729    2.703964725    2.346929766
    5.365828829    2.700131835    2.700131831    2.344750578
    5.375837838    2.696310482    2.696310477    2.342574959
    5.385846847    2.692500629    2.692500625    2.340402911
    5.395855856    2.688702238    2.688702234    2.338234434
    5.405864865    2.684915267    2.684915263    2.336069525
    5.415873874    2.681139678    2.681139674    2.333908187
    5.425882883    2.677375430    2.677375426    2.331750417
    5.435891892    2.673622485    2.673622481    2.329596216
    5.445900901    2.669880803    2.669880798    2.327445583
    5.455909910    2.666150344    2.666150340    2.325298518
    5.465918919    2.662431069    2.662431065    2.323155020
    5.475927928    2.658722941    2.658722937    2.321015088
    5.485936937    2.655025919    2.655025915    2.318878721
    5.495945946    2.651339965    2.651339961    2.316745920
    5.505954955    2.647665041    2.647665037    2.314616682
